timestamp,Electricity (kWh)
2022-06-02 17:29:47.000000 +00:00,88648.3
2022-06-02 16:26:59.000000 +00:00,88647.2963
2022-06-02 15:22:12.000000 +00:00,88646.2853
2022-06-02 15:06:50.000000 +00:00,88645.2662
2022-06-02 14:49:28.000000 +00:00,88644.2453
2022-06-02 14:34:26.000000 +00:00,88643.2298
2022-06-02 14:20:24.000000 +00:00,88642.2127
2022-06-02 14:06:42.000000 +00:00,88641.194
2022-06-02 13:53:40.000000 +00:00,88640.18199999999
2022-06-02 13:41:38.000000 +00:00,88639.1685
2022-06-02 13:28:58.000000 +00:00,88638.1173
2022-06-02 13:17:16.000000 +00:00,88637.0786
2022-06-02 13:05:54.000000 +00:00,88636.0681
2022-06-02 12:54:14.000000 +00:00,88635.045
2022-06-02 12:42:12.000000 +00:00,88634.0145
2022-06-02 12:30:30.000000 +00:00,88632.9749
2022-06-02 12:19:08.000000 +00:00,88631.9552
2022-06-02 12:12:08.000000 +00:00,88630.9335
2022-06-02 12:00:46.000000 +00:00,88629.9057
2022-06-02 11:49:46.000000 +00:00,88628.8929
2022-06-02 11:40:24.000000 +00:00,88627.8623
2022-06-02 11:34:44.000000 +00:00,88626.7907
2022-06-02 11:23:43.000000 +00:00,88625.7699
2022-06-02 11:15:40.000000 +00:00,88624.7416
2022-06-02 11:06:01.000000 +00:00,88623.7195
2022-06-02 10:54:39.000000 +00:00,88622.6756
2022-06-02 10:48:19.000000 +00:00,88621.6579
2022-06-02 10:39:57.000000 +00:00,88620.6514
2022-06-02 10:32:37.000000 +00:00,88619.6179
2022-06-02 10:25:15.000000 +00:00,88618.5441
2022-06-02 10:15:35.000000 +00:00,88617.524
2022-06-02 10:09:53.000000 +00:00,88616.4644
2022-06-02 10:01:33.000000 +00:00,88615.38699999999
2022-06-02 09:55:11.000000 +00:00,88614.3322
2022-06-02 09:47:31.000000 +00:00,88613.3298
2022-06-02 09:40:11.000000 +00:00,88612.3044
2022-06-02 09:32:29.000000 +00:00,88611.3034
2022-06-02 09:25:29.000000 +00:00,88610.2704
2022-06-02 09:18:07.000000 +00:00,88609.2207
2022-06-02 09:11:27.000000 +00:00,88608.1903
2022-06-02 09:07:05.000000 +00:00,88607.1574
2022-06-02 08:59:45.000000 +00:00,88606.0869
2022-06-02 08:53:05.000000 +00:00,88605.0372
2022-06-02 08:48:03.000000 +00:00,88604.0115
2022-06-02 08:44:43.000000 +00:00,88603.0115
2022-06-02 08:33:21.000000 +00:00,88601.9436
2022-06-02 08:24:01.000000 +00:00,88600.9323
2022-06-02 08:15:59.000000 +00:00,88599.9067
2022-06-02 08:06:59.000000 +00:00,88598.8819
2022-06-02 07:59:57.000000 +00:00,88597.8774
2022-06-02 07:52:37.000000 +00:00,88596.81199999999
2022-06-02 07:45:55.000000 +00:00,88595.7257
2022-06-02 07:36:35.000000 +00:00,88594.6835
2022-06-02 07:25:13.000000 +00:00,88593.6576
2022-06-02 07:17:53.000000 +00:00,88592.6491
2022-06-02 07:08:31.000000 +00:00,88591.6323
2022-06-02 06:57:10.000000 +00:00,88590.6113
2022-06-02 06:45:49.000000 +00:00,88589.5886
2022-06-02 06:34:48.000000 +00:00,88588.5348
2022-06-02 06:22:26.000000 +00:00,88587.5082
2022-06-02 06:09:06.000000 +00:00,88586.5061
2022-06-02 05:52:42.000000 +00:00,88585.5012
2022-06-02 05:34:00.000000 +00:00,88584.4924
2022-06-02 05:24:20.000000 +00:00,88583.4833
2022-06-02 05:12:58.000000 +00:00,88582.4348
