PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,DewpointTemp,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindSpeed10m
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,6.2,0.0,1.3,0,7.8,71.0,0.0,1011.7,9.1
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,6.2,0.6,2.1,0,8.2,75.0,0.0,1011.6,9.1
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,6.2,2.5,2.8,0,8.0,78.5,0.0,1012.0,9.1
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,6.2,0.0,2.7,0,7.4,78.0,0.0,1013.2,8.7
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,6.0,0.0,2.2,0,7.2,76.3,0.0,1014.6,8.1
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,5.8,0.0,1.8,0,6.8,75.5,0.0,1015.7,8.0
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,5.5,0.0,1.4,0,6.3,74.6,0.0,1016.4,8.3
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,5.4,0.0,1.0,29,5.9,73.6,0.0,1017.4,8.3
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,5.4,1.5,0.6,94,5.6,71.3,0.0,1018.7,8.1
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,5.6,4.2,0.2,139,5.3,68.1,0.0,1019.9,7.6
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,5.7,21.0,0.1,125,5.3,66.9,0.0,1021.3,6.5
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,5.6,7.6,0.2,123,5.6,68.2,0.0,1022.3,5.6
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,5.2,8.9,0.1,70,5.8,69.7,0.0,1022.2,5.5
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,4.7,0.0,-0.0,15,6.0,71.8,0.0,1022.2,5.3
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,4.2,0.7,-0.1,0,6.4,73.8,0.0,1022.6,5.2
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,4.0,0.0,-0.1,0,7.0,75.0,0.0,1023.4,5.4
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,3.8,0.0,0.0,0,7.3,76.1,0.0,1024.6,5.4
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,3.7,0.0,0.3,0,8.1,78.8,0.0,1025.3,5.4
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,3.5,0.0,0.8,0,8.8,82.7,0.0,1025.0,5.2
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,3.3,0.0,1.2,0,9.1,85.9,0.0,1024.8,4.7
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,3.1,0.0,1.3,0,8.9,88.0,0.0,1025.0,4.4
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,3.0,0.0,1.4,0,8.5,89.1,0.0,1025.0,4.3
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,2.9,0.0,1.4,0,8.1,90.1,0.0,1025.3,4.6
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,2.9,0.0,1.5,0,7.8,90.5,0.0,1025.2,5.2
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,3.0,0.0,1.6,0,7.7,90.5,0.0,1024.6,5.4
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,3.1,0.0,1.8,0,7.5,90.9,0.0,1024.2,5.4
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,3.2,0.0,1.9,0,7.2,91.3,0.0,1023.7,5.6
2020-01-01T05:00:00Z,2020-01-01T04:00:00Z,PT60M,3.3,0.0,2.1,0,6.9,91.4,0.0,1023.4,5.9
2020-01-01T06:00:00Z,2020-01-01T05:00:00Z,PT60M,3.7,0.0,2.0,0,6.4,88.8,0.0,1023.7,5.4
2020-01-01T07:00:00Z,2020-01-01T06:00:00Z,PT60M,3.6,0.0,1.8,0,5.7,87.7,0.0,1024.0,5.2
2020-01-01T08:00:00Z,2020-01-01T07:00:00Z,PT60M,3.3,0.0,1.7,0,5.5,89.3,0.0,1023.6,5.8
2020-01-01T09:00:00Z,2020-01-01T08:00:00Z,PT60M,3.6,6.4,1.9,26,5.5,88.9,0.0,1023.2,6.3
2020-01-01T10:00:00Z,2020-01-01T09:00:00Z,PT60M,4.0,41.8,2.0,53,5.6,86.8,0.0,1022.9,6.7
2020-01-01T11:00:00Z,2020-01-01T10:00:00Z,PT60M,4.7,41.0,2.3,81,5.7,84.5,0.0,1023.0,7.0
2020-01-01T12:00:00Z,2020-01-01T11:00:00Z,PT60M,5.1,28.9,2.4,107,6.0,82.9,0.0,1023.0,6.9
2020-01-01T13:00:00Z,2020-01-01T12:00:00Z,PT60M,5.2,2.3,2.5,126,6.2,82.7,0.0,1022.4,6.6
2020-01-01T14:00:00Z,2020-01-01T13:00:00Z,PT60M,4.9,0.0,2.5,77,5.9,84.4,0.0,1021.4,6.4
2020-01-01T15:00:00Z,2020-01-01T14:00:00Z,PT60M,4.5,0.0,2.5,15,5.6,86.9,0.0,1020.5,6.5
2020-01-01T16:00:00Z,2020-01-01T15:00:00Z,PT60M,4.1,0.0,2.4,0,5.5,88.6,0.0,1020.3,6.6
2020-01-01T17:00:00Z,2020-01-01T16:00:00Z,PT60M,3.8,0.0,2.2,0,5.5,89.6,0.0,1020.5,6.3
2020-01-01T18:00:00Z,2020-01-01T17:00:00Z,PT60M,3.3,0.0,1.9,0,5.3,90.2,0.0,1020.7,5.7
2020-01-01T19:00:00Z,2020-01-01T18:00:00Z,PT60M,3.1,0.0,1.6,0,5.0,89.5,0.0,1020.7,5.6
2020-01-01T20:00:00Z,2020-01-01T19:00:00Z,PT60M,2.9,0.0,1.4,0,5.1,89.8,0.0,1020.7,5.1
2020-01-01T21:00:00Z,2020-01-01T20:00:00Z,PT60M,2.8,0.0,1.4,0,5.5,90.6,0.0,1020.1,5.5
2020-01-01T22:00:00Z,2020-01-01T21:00:00Z,PT60M,3.1,0.0,1.6,0,6.3,90.0,0.0,1019.2,6.5
2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,PT60M,3.4,0.0,2.0,0,7.3,90.5,0.0,1019.3,6.1
2020-01-02T00:00:00Z,2020-01-01T23:00:00Z,PT60M,3.9,0.0,2.3,0,7.6,89.2,0.0,1019.1,5.9
2020-01-02T01:00:00Z,2020-01-02T00:00:00Z,PT60M,4.2,0.0,2.2,0,7.3,87.1,0.0,1018.3,5.9
2020-01-02T02:00:00Z,2020-01-02T01:00:00Z,PT60M,3.8,0.0,2.0,0,6.7,88.4,0.0,1017.8,5.8
2020-01-02T03:00:00Z,2020-01-02T02:00:00Z,PT60M,3.3,0.0,1.9,0,6.0,90.7,0.0,1017.2,5.7
2020-01-02T04:00:00Z,2020-01-02T03:00:00Z,PT60M,3.1,0.0,1.9,0,5.6,91.9,0.0,1016.5,5.9
2020-01-02T05:00:00Z,2020-01-02T04:00:00Z,PT60M,3.4,0.0,2.2,0,5.6,92.1,0.0,1016.1,6.5
2020-01-02T06:00:00Z,2020-01-02T05:00:00Z,PT60M,3.8,0.0,2.3,0,5.7,89.8,0.0,1015.9,6.8
2020-01-02T07:00:00Z,2020-01-02T06:00:00Z,PT60M,3.8,0.0,2.1,0,5.8,88.7,0.0,1015.6,6.9
2020-01-02T08:00:00Z,2020-01-02T07:00:00Z,PT60M,3.8,0.0,2.2,0,5.8,88.9,0.0,1015.3,7.2
2020-01-02T09:00:00Z,2020-01-02T08:00:00Z,PT60M,4.0,8.7,2.2,24,6.0,88.2,0.0,1015.1,7.7
2020-01-02T10:00:00Z,2020-01-02T09:00:00Z,PT60M,4.3,57.4,2.4,38,6.2,87.3,0.0,1014.9,8.0
2020-01-02T11:00:00Z,2020-01-02T10:00:00Z,PT60M,4.7,67.7,2.7,45,6.5,86.4,0.0,1014.8,8.2
2020-01-02T12:00:00Z,2020-01-02T11:00:00Z,PT60M,5.0,69.2,2.8,47,6.8,85.8,0.0,1014.3,8.2
2020-01-02T13:00:00Z,2020-01-02T12:00:00Z,PT60M,5.2,58.6,3.0,52,7.0,85.6,0.0,1013.3,8.0
2020-01-02T14:00:00Z,2020-01-02T13:00:00Z,PT60M,5.4,36.5,3.2,45,7.0,85.8,0.0,1012.1,8.0
2020-01-02T15:00:00Z,2020-01-02T14:00:00Z,PT60M,5.4,0.0,3.1,15,6.6,85.0,0.0,1011.4,8.1
2020-01-02T16:00:00Z,2020-01-02T15:00:00Z,PT60M,5.3,1.9,2.8,0,6.3,83.6,0.0,1010.9,8.0
2020-01-02T17:00:00Z,2020-01-02T16:00:00Z,PT60M,5.2,21.3,2.6,0,6.4,83.3,0.0,1010.6,8.2
2020-01-02T18:00:00Z,2020-01-02T17:00:00Z,PT60M,5.1,0.0,2.6,0,6.8,84.1,0.0,1010.2,8.6
2020-01-02T19:00:00Z,2020-01-02T18:00:00Z,PT60M,5.0,0.0,2.6,0,7.1,84.3,0.0,1009.7,8.8
2020-01-02T20:00:00Z,2020-01-02T19:00:00Z,PT60M,5.0,0.0,2.4,0,7.4,83.3,0.0,1009.0,9.0
2020-01-02T21:00:00Z,2020-01-02T20:00:00Z,PT60M,5.1,23.2,2.3,0,7.7,82.1,0.0,1008.2,9.2
2020-01-02T22:00:00Z,2020-01-02T21:00:00Z,PT60M,5.2,30.8,2.5,0,7.8,82.3,0.0,1007.6,9.5
2020-01-02T23:00:00Z,2020-01-02T22:00:00Z,PT60M,5.5,30.8,2.6,0,8.1,82.0,0.0,1007.1,9.4
2020-01-03T00:00:00Z,2020-01-02T23:00:00Z,PT60M,5.8,30.4,2.9,0,8.8,81.6,0.0,1005.9,9.2
2020-01-03T01:00:00Z,2020-01-03T00:00:00Z,PT60M,6.2,30.7,3.4,0,9.9,82.1,0.0,1004.4,9.2
2020-01-03T02:00:00Z,2020-01-03T01:00:00Z,PT60M,6.6,31.0,3.7,0,11.9,81.9,0.0,1003.1,9.2
2020-01-03T03:00:00Z,2020-01-03T02:00:00Z,PT60M,6.9,35.9,4.1,0,16.0,82.1,0.0,1002.1,9.1
2020-01-03T04:00:00Z,2020-01-03T03:00:00Z,PT60M,7.1,89.9,4.7,0,19.5,84.7,0.0,1001.2,8.9
2020-01-03T05:00:00Z,2020-01-03T04:00:00Z,PT60M,7.4,95.8,5.5,0,19.9,87.8,0.0,1000.6,8.5
2020-01-03T06:00:00Z,2020-01-03T05:00:00Z,PT60M,7.5,95.8,5.7,0,19.3,88.5,0.0,1000.7,7.5
2020-01-03T07:00:00Z,2020-01-03T06:00:00Z,PT60M,7.5,91.1,5.9,0,18.7,89.7,0.0,1000.8,6.8
2020-01-03T08:00:00Z,2020-01-03T07:00:00Z,PT60M,7.5,92.6,6.2,0,17.8,91.2,0.0,1000.5,7.0
2020-01-03T09:00:00Z,2020-01-03T08:00:00Z,PT60M,7.6,72.9,6.4,8,17.1,91.7,0.0,1000.4,6.8
2020-01-03T10:00:00Z,2020-01-03T09:00:00Z,PT60M,7.6,40.3,6.2,44,16.5,91.0,0.0,1000.9,5.8
2020-01-03T11:00:00Z,2020-01-03T10:00:00Z,PT60M,7.0,35.0,4.9,77,15.5,86.3,0.0,1001.8,5.5
2020-01-03T12:00:00Z,2020-01-03T11:00:00Z,PT60M,6.6,22.4,2.8,107,12.6,76.2,0.0,1002.8,5.4
2020-01-03T13:00:00Z,2020-01-03T12:00:00Z,PT60M,6.6,19.7,1.2,96,8.9,68.4,0.0,1003.3,4.8
2020-01-03T14:00:00Z,2020-01-03T13:00:00Z,PT60M,6.1,8.5,0.5,67,6.9,67.7,0.0,1003.3,4.6
2020-01-03T15:00:00Z,2020-01-03T14:00:00Z,PT60M,5.3,50.8,0.4,8,6.3,70.4,0.0,1003.7,4.7
2020-01-03T16:00:00Z,2020-01-03T15:00:00Z,PT60M,4.8,33.9,0.4,0,6.7,73.4,0.0,1004.2,5.2
2020-01-03T17:00:00Z,2020-01-03T16:00:00Z,PT60M,4.8,32.3,0.7,0,7.9,74.6,0.0,1004.9,5.9
2020-01-03T18:00:00Z,2020-01-03T17:00:00Z,PT60M,5.1,24.7,1.1,0,8.2,75.2,0.0,1005.5,6.3
2020-01-03T19:00:00Z,2020-01-03T18:00:00Z,PT60M,5.1,0.0,1.1,0,7.1,75.2,0.0,1005.8,6.6
2020-01-03T20:00:00Z,2020-01-03T19:00:00Z,PT60M,4.9,0.0,0.6,0,6.7,73.5,0.0,1005.9,7.2
2020-01-03T21:00:00Z,2020-01-03T20:00:00Z,PT60M,4.9,0.0,0.4,0,6.6,72.6,0.0,1006.2,7.9
2020-01-03T22:00:00Z,2020-01-03T21:00:00Z,PT60M,5.0,0.0,0.2,0,6.7,71.3,0.0,1006.6,8.6
2020-01-03T23:00:00Z,2020-01-03T22:00:00Z,PT60M,5.1,0.0,0.1,0,7.3,70.2,0.0,1006.9,9.2
2020-01-04T00:00:00Z,2020-01-03T23:00:00Z,PT60M,5.1,0.0,0.5,0,8.2,72.3,0.0,1006.6,9.1
2020-01-04T01:00:00Z,2020-01-04T00:00:00Z,PT60M,5.3,0.0,1.0,0,9.0,74.2,0.0,1006.0,9.2
2020-01-04T02:00:00Z,2020-01-04T01:00:00Z,PT60M,5.6,0.0,1.4,0,9.4,74.3,0.0,1005.2,10.2
2020-01-04T03:00:00Z,2020-01-04T02:00:00Z,PT60M,6.0,0.0,1.6,0,9.5,73.8,0.0,1004.6,10.8
2020-01-04T04:00:00Z,2020-01-04T03:00:00Z,PT60M,6.0,0.0,1.6,0,9.6,73.4,0.0,1004.7,10.2
2020-01-04T05:00:00Z,2020-01-04T04:00:00Z,PT60M,5.7,0.0,1.4,0,9.7,74.1,0.0,1004.8,9.0
2020-01-04T06:00:00Z,2020-01-04T05:00:00Z,PT60M,5.1,0.0,1.3,0,10.1,76.4,0.0,1004.5,7.3
2020-01-04T07:00:00Z,2020-01-04T06:00:00Z,PT60M,4.5,0.0,1.9,0,10.9,83.2,0.0,1003.9,7.5
2020-01-04T08:00:00Z,2020-01-04T07:00:00Z,PT60M,4.3,0.0,2.1,0,10.4,85.6,0.0,1004.1,8.5
2020-01-04T09:00:00Z,2020-01-04T08:00:00Z,PT60M,4.2,0.9,-0.1,28,7.6,73.3,0.0,1005.0,8.5
2020-01-04T10:00:00Z,2020-01-04T09:00:00Z,PT60M,4.2,0.0,-2.7,94,5.3,60.9,0.0,1006.0,8.9
2020-01-04T11:00:00Z,2020-01-04T10:00:00Z,PT60M,4.4,0.0,-3.1,141,5.7,58.3,0.0,1007.3,9.3
2020-01-04T12:00:00Z,2020-01-04T11:00:00Z,PT60M,4.9,0.0,-1.9,153,6.2,61.4,0.0,1008.1,9.1
2020-01-04T13:00:00Z,2020-01-04T12:00:00Z,PT60M,5.1,0.0,-1.9,131,5.7,60.4,0.0,1008.6,9.0
2020-01-04T14:00:00Z,2020-01-04T13:00:00Z,PT60M,4.8,0.0,-2.9,80,4.9,57.2,0.0,1009.3,8.7
2020-01-04T15:00:00Z,2020-01-04T14:00:00Z,PT60M,4.2,0.0,-3.5,17,4.3,57.4,0.0,1010.5,8.1
2020-01-04T16:00:00Z,2020-01-04T15:00:00Z,PT60M,3.6,0.0,-3.7,0,4.0,59.0,0.0,1012.3,7.6
2020-01-04T17:00:00Z,2020-01-04T16:00:00Z,PT60M,3.3,0.0,-3.6,0,3.8,60.6,0.0,1014.2,7.2
2020-01-04T18:00:00Z,2020-01-04T17:00:00Z,PT60M,2.9,0.0,-3.2,0,3.7,64.3,0.0,1016.0,6.5
2020-01-04T19:00:00Z,2020-01-04T18:00:00Z,PT60M,2.5,0.0,-2.8,0,3.6,68.1,0.0,1017.1,5.9
2020-01-04T20:00:00Z,2020-01-04T19:00:00Z,PT60M,2.3,0.0,-2.6,0,3.6,70.1,0.0,1017.7,5.5
2020-01-04T21:00:00Z,2020-01-04T20:00:00Z,PT60M,1.9,0.0,-2.4,0,3.6,72.9,0.0,1018.7,4.7
2020-01-04T22:00:00Z,2020-01-04T21:00:00Z,PT60M,1.5,0.0,-2.3,0,3.7,75.8,0.0,1019.9,4.0
2020-01-04T23:00:00Z,2020-01-04T22:00:00Z,PT60M,1.2,0.0,-2.3,0,3.9,77.5,0.0,1021.1,3.6
2020-01-05T00:00:00Z,2020-01-04T23:00:00Z,PT60M,1.1,0.0,-2.4,0,4.1,77.3,0.0,1021.7,3.6
2020-01-05T01:00:00Z,2020-01-05T00:00:00Z,PT60M,1.0,0.0,-2.4,0,4.5,78.0,0.0,1022.0,3.7
2020-01-05T02:00:00Z,2020-01-05T01:00:00Z,PT60M,1.0,0.0,-2.0,0,5.3,80.7,0.0,1022.3,3.5
2020-01-05T03:00:00Z,2020-01-05T02:00:00Z,PT60M,1.0,0.0,-1.4,0,6.3,83.8,0.0,1022.4,3.4
2020-01-05T04:00:00Z,2020-01-05T03:00:00Z,PT60M,1.1,0.0,-0.9,0,7.2,86.7,0.0,1022.6,3.4
2020-01-05T05:00:00Z,2020-01-05T04:00:00Z,PT60M,1.1,0.0,-0.7,0,8.4,88.2,0.0,1023.2,3.6
2020-01-05T06:00:00Z,2020-01-05T05:00:00Z,PT60M,1.1,0.0,-0.6,0,9.7,87.9,0.0,1023.9,3.6
2020-01-05T07:00:00Z,2020-01-05T06:00:00Z,PT60M,1.2,0.3,-0.7,0,11.8,87.7,0.0,1023.7,3.4
2020-01-05T08:00:00Z,2020-01-05T07:00:00Z,PT60M,1.4,10.1,-0.5,0,15.1,87.6,0.0,1023.1,3.7
2020-01-05T09:00:00Z,2020-01-05T08:00:00Z,PT60M,2.2,18.0,0.1,21,17.2,86.1,0.0,1022.7,4.4
2020-01-05T10:00:00Z,2020-01-05T09:00:00Z,PT60M,3.2,19.5,0.9,68,18.0,85.0,0.0,1022.7,5.1
2020-01-05T11:00:00Z,2020-01-05T10:00:00Z,PT60M,3.8,37.0,1.9,82,18.6,87.3,0.0,1022.8,5.5
2020-01-05T12:00:00Z,2020-01-05T11:00:00Z,PT60M,4.3,53.9,3.0,67,18.5,91.3,0.0,1022.3,5.4
2020-01-05T13:00:00Z,2020-01-05T12:00:00Z,PT60M,4.8,55.6,3.8,55,18.0,93.4,0.0,1021.4,5.3
2020-01-05T14:00:00Z,2020-01-05T13:00:00Z,PT60M,5.2,43.5,4.1,42,17.0,92.5,0.0,1020.3,5.4
2020-01-05T15:00:00Z,2020-01-05T14:00:00Z,PT60M,5.4,42.3,4.0,10,16.0,90.9,0.0,1019.4,5.4
2020-01-05T16:00:00Z,2020-01-05T15:00:00Z,PT60M,5.3,62.6,4.0,0,15.7,91.3,0.0,1019.2,5.1
2020-01-05T17:00:00Z,2020-01-05T16:00:00Z,PT60M,5.3,73.5,4.1,0,15.8,91.9,0.0,1019.4,5.0
2020-01-05T18:00:00Z,2020-01-05T17:00:00Z,PT60M,5.4,67.2,4.2,0,15.3,91.8,0.0,1019.4,5.4
2020-01-05T19:00:00Z,2020-01-05T18:00:00Z,PT60M,5.7,62.4,4.4,0,13.9,91.5,0.0,1018.8,5.9
2020-01-05T20:00:00Z,2020-01-05T19:00:00Z,PT60M,5.9,63.8,4.6,0,11.6,91.5,0.0,1017.9,6.1
2020-01-05T21:00:00Z,2020-01-05T20:00:00Z,PT60M,6.0,56.0,4.8,0,10.2,92.2,0.0,1017.5,6.0
2020-01-05T22:00:00Z,2020-01-05T21:00:00Z,PT60M,6.1,48.7,4.9,0,10.2,91.8,0.0,1017.9,5.5
2020-01-05T23:00:00Z,2020-01-05T22:00:00Z,PT60M,6.2,48.7,4.6,0,10.5,89.3,0.0,1018.2,5.3
2020-01-06T00:00:00Z,2020-01-05T23:00:00Z,PT60M,6.1,48.6,4.3,0,11.6,88.0,0.0,1018.0,5.4
2020-01-06T01:00:00Z,2020-01-06T00:00:00Z,PT60M,6.1,48.2,4.5,0,13.7,89.5,0.0,1017.4,5.5
2020-01-06T02:00:00Z,2020-01-06T01:00:00Z,PT60M,6.2,48.2,4.9,0,15.1,91.6,0.0,1016.6,5.7
2020-01-06T03:00:00Z,2020-01-06T02:00:00Z,PT60M,6.4,52.0,5.2,0,15.3,92.1,0.0,1016.2,5.4
2020-01-06T04:00:00Z,2020-01-06T03:00:00Z,PT60M,6.6,54.8,5.3,0,15.0,91.4,0.0,1016.1,4.9
2020-01-06T05:00:00Z,2020-01-06T04:00:00Z,PT60M,6.6,0.1,5.3,0,14.9,91.4,0.0,1016.2,4.6
2020-01-06T06:00:00Z,2020-01-06T05:00:00Z,PT60M,6.7,0.0,5.6,0,15.4,92.7,0.0,1016.3,4.5
2020-01-06T07:00:00Z,2020-01-06T06:00:00Z,PT60M,6.9,0.0,5.9,0,15.7,93.5,0.0,1016.2,4.8
2020-01-06T08:00:00Z,2020-01-06T07:00:00Z,PT60M,7.0,0.0,6.0,0,15.6,93.3,0.0,1015.7,5.1
2020-01-06T09:00:00Z,2020-01-06T08:00:00Z,PT60M,7.2,7.1,5.9,25,15.3,91.9,0.0,1015.4,5.3
2020-01-06T10:00:00Z,2020-01-06T09:00:00Z,PT60M,7.4,51.9,5.9,43,15.0,89.8,0.0,1015.3,5.2
2020-01-06T11:00:00Z,2020-01-06T10:00:00Z,PT60M,7.6,58.1,5.8,57,14.4,88.4,0.0,1015.3,4.9
2020-01-06T12:00:00Z,2020-01-06T11:00:00Z,PT60M,7.7,58.4,5.6,63,13.5,86.8,0.0,1015.0,5.1
2020-01-06T13:00:00Z,2020-01-06T12:00:00Z,PT60M,7.7,52.5,5.4,62,12.7,85.4,0.0,1014.4,5.5
2020-01-06T14:00:00Z,2020-01-06T13:00:00Z,PT60M,7.4,30.7,5.1,56,12.2,85.2,0.0,1013.5,5.9
2020-01-06T15:00:00Z,2020-01-06T14:00:00Z,PT60M,6.9,30.5,4.6,13,12.1,85.4,0.0,1012.8,6.1
2020-01-06T16:00:00Z,2020-01-06T15:00:00Z,PT60M,6.4,40.9,4.0,0,12.7,84.6,0.0,1012.6,6.2
2020-01-06T17:00:00Z,2020-01-06T16:00:00Z,PT60M,6.2,43.6,3.5,0,13.5,82.7,0.0,1012.6,6.4
2020-01-06T18:00:00Z,2020-01-06T17:00:00Z,PT60M,6.1,43.4,3.2,0,13.7,81.5,0.0,1012.5,6.2
2020-01-06T19:00:00Z,2020-01-06T18:00:00Z,PT60M,6.1,31.0,2.9,0,13.3,80.0,0.0,1012.2,6.2
2020-01-06T20:00:00Z,2020-01-06T19:00:00Z,PT60M,6.0,30.8,2.6,0,12.7,78.8,0.0,1011.2,6.2
2020-01-06T21:00:00Z,2020-01-06T20:00:00Z,PT60M,5.6,35.0,2.4,0,12.2,79.3,0.0,1010.3,6.1
2020-01-06T22:00:00Z,2020-01-06T21:00:00Z,PT60M,5.3,72.7,2.2,0,11.9,80.6,0.0,1010.2,6.2
2020-01-06T23:00:00Z,2020-01-06T22:00:00Z,PT60M,5.1,71.9,2.1,0,12.1,80.7,0.0,1010.4,5.9
2020-01-07T00:00:00Z,2020-01-06T23:00:00Z,PT60M,5.0,70.5,1.9,0,12.6,80.4,0.0,1010.3,5.5
2020-01-07T01:00:00Z,2020-01-07T00:00:00Z,PT60M,4.8,87.7,1.9,0,13.3,81.2,0.0,1009.8,5.5
2020-01-07T02:00:00Z,2020-01-07T01:00:00Z,PT60M,4.7,87.9,2.0,0,14.5,82.3,0.0,1009.2,5.8
2020-01-07T03:00:00Z,2020-01-07T02:00:00Z,PT60M,4.7,74.8,2.1,0,15.2,83.5,0.0,1008.7,5.9
2020-01-07T04:00:00Z,2020-01-07T03:00:00Z,PT60M,4.7,30.9,2.5,0,15.7,85.6,0.0,1008.7,6.0
2020-01-07T05:00:00Z,2020-01-07T04:00:00Z,PT60M,4.8,32.3,3.0,0,15.3,87.8,0.0,1009.2,5.9
2020-01-07T06:00:00Z,2020-01-07T05:00:00Z,PT60M,5.1,35.4,3.4,0,13.3,88.8,0.0,1009.7,5.0
2020-01-07T07:00:00Z,2020-01-07T06:00:00Z,PT60M,5.4,30.6,3.9,0,11.6,90.1,0.0,1010.1,4.5
2020-01-07T08:00:00Z,2020-01-07T07:00:00Z,PT60M,5.9,30.7,4.7,0,11.3,92.0,0.0,1010.5,4.6
2020-01-07T09:00:00Z,2020-01-07T08:00:00Z,PT60M,6.4,30.8,5.2,19,11.5,92.3,0.0,1011.0,4.5
2020-01-07T10:00:00Z,2020-01-07T09:00:00Z,PT60M,6.7,41.1,5.4,52,11.7,91.5,0.0,1011.9,4.6
2020-01-07T11:00:00Z,2020-01-07T10:00:00Z,PT60M,6.9,37.6,5.4,87,11.1,89.8,0.0,1012.5,4.6
2020-01-07T12:00:00Z,2020-01-07T11:00:00Z,PT60M,7.0,44.2,4.8,88,9.8,85.6,0.0,1012.8,4.3
2020-01-07T13:00:00Z,2020-01-07T12:00:00Z,PT60M,7.0,12.5,4.2,122,9.4,82.5,0.0,1012.9,4.6
2020-01-07T14:00:00Z,2020-01-07T13:00:00Z,PT60M,6.7,9.5,4.1,78,9.7,83.7,0.0,1012.7,4.9
