dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1577836800,2020-01-01 00:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,3.68,,1.4,-0.11,1.08,4,1029,,,85,4.6,270,0,,,,,5,800,Clear,sky is clear,01n
1577840400,2020-01-01 01:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,4.09,10000,1.63,0.68,1.76,4.81,1029,,,84,4.1,280,0,,,,,75,803,Clouds,broken clouds,04n
1577844000,2020-01-01 02:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,4.56,10000,2.09,1.56,2.76,5.34,1029,,,84,3.6,260,0,,,,,100,804,Clouds,overcast clouds,04n
1577847600,2020-01-01 03:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.15,10000,2.16,1.72,3.76,5.53,1029,,,81,4.6,270,9.3,,,,,100,804,Clouds,overcast clouds,04n
1577851200,2020-01-01 04:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.45,10000,2.46,2.09,4.98,5.76,1028,,,81,4.6,260,0,,,,,100,804,Clouds,overcast clouds,04n
1577854800,2020-01-01 05:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.62,10000,2.62,1.8,5.25,5.98,1028,,,81,5.7,260,9.8,,,,,100,804,Clouds,overcast clouds,04n
1577858400,2020-01-01 06:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.72,10000,2.72,2.43,5.4,6.09,1028,,,81,4.6,260,9.8,,,,,100,804,Clouds,overcast clouds,04n
1577862000,2020-01-01 07:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.44,10000,2.45,2.08,4.98,5.76,1027,,,81,4.6,250,10.3,,,,,75,803,Clouds,broken clouds,04n
1577865600,2020-01-01 08:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.29,10000,2.47,1.89,4.85,5.76,1028,,,82,4.6,250,0,,,,,40,802,Clouds,scattered clouds,03d
1577869200,2020-01-01 09:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.49,10000,2.67,1.9,5.05,5.92,1028,,,82,5.1,260,11.3,,,,,75,803,Clouds,broken clouds,04d
1577872800,2020-01-01 10:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.79,10000,2.79,1.82,5.5,6.2,1028,,,81,6.2,260,12.4,,,,,75,803,Clouds,broken clouds,04d
1577876400,2020-01-01 11:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.9,10000,2.89,1.96,4.97,6.76,1027,,,81,6.2,260,0,,,,,75,803,Clouds,broken clouds,04d
1577880000,2020-01-01 12:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.97,10000,2.96,2.25,4.97,6.76,1026,,,81,5.7,250,12.4,,,,,40,802,Clouds,scattered clouds,03d
1577883600,2020-01-01 13:00:00 +0000 UTC,3600,Custom location,56.218022,10.146013,5.81,10000,2.45,2.04,5.58,6.21,1027,,,79,5.7,260,11.3,,,,,64,803,Clouds,broken clouds,04d
